size,hour
51,202503251521
49,202503251621
48,202503251721
47,202503251821
47,202503251921
47,202503252021
46,202503252121
43,202503252221
2.7,202503252321
38,202503260021
37,202503260121
33,202503260221
29,202503260321
23,202503260421
25,202503260521
24,202503260621
25,202503260721
28,202503260821
30,202503260921
35,202503261021
41,202503261121
47,202503261221
50,202503261321
55,202503261421
54,202503261521
52,202503261621
50,202503261721
49,202503261821
49,202503261921
49,202503262021
47,202503262121
44,202503262221
40,202503262321
38,202503270021
36,202503270121
33,202503270221
29,202503270321
24,202503270421
23,202503270521
24,202503270621
26,202503270721
27,202503270821
31,202503270921
35,202503271021
41,202503271121
46,202503271221
52,202503271321
59,202503271421
55,202503271521
52,202503271621
49,202503271721
49,202503271821
49,202503271921
48,202503272021
47,202503272121
44,202503272221
42,202503272321
40,202503280021
37,202503280121
35,202503280221
30,202503280321
25,202503280421
24,202503280521
24,202503280621
26,202503280721
28,202503280821
30,202503280921
35,202503281021
41,202503281121
47,202503281221
50,202503281321
53,202503281421
53,202503281521
51,202503281621
49,202503281721
50,202503281821
47,202503281921
46,202503282021
45,202503282121
43,202503282221
41,202503282321
37,202503290021
36,202503290121
32,202503290221
28,202503290321
24,202503290421
22,202503290521
21,202503290621
24,202503290721
24,202503290821
26,202503290921
29,202503291021
34,202503291121
37,202503291221
41,202503291321
46,202503291421
45,202503291521
44,202503291621
42,202503291721
41,202503291821
40,202503291921
40,202503292021
39,202503292121
38,202503292221
37,202503292321
35,202503300021
32,202503300121
30,202503300221
27,202503300321
23,202503300421
21,202503300521
21,202503300621
22,202503300721
23,202503300821
25,202503300921
27,202503301021
31,202503301121
36,202503301221
41,202503301321
45,202503301421
55,202503301521
44,202503301621
42,202503301721
43,202503301821
41,202503301921
40,202503302021
38,202503302121
36,202503302221
34,202503302321
32,202503310021
31,202503310121
29,202503310221
26,202503310321
23,202503310421
24,202503310521
23,202503310621
24,202503310721
25,202503310821
28,202503310921
33,202503311021
38,202503311121
43,202503311221
47,202503311321
51,202503311421
71,202503311521
8.9,202503311621
52,202503311721
46,202503311821
46,202503311921
45,202503312021
43,202503312121
41,202503312221
38,202503312321
38,202504010021
36,202504010121
33,202504010221
31,202504010321
26,202504010421
27,202504010521
13,202504010621
26,202504010721
27,202504010821
29,202504010921
33,202504011021
39,202504011121
45,202504011221
50,202504011321
52,202504011421
52,202504011521
50,202504011621
48,202504011721
47,202504011821
46,202504011921
45,202504012021
43,202504012121
42,202504012221
41,202504012321
37,202504020021
39,202504020121
37,202504020221
31,202504020321
27,202504020421
26,202504020521
25,202504020621
24,202504020721
26,202504020821
29,202504020921
33,202504021021
39,202504021121
48,202504021221
63,202504021321
60,202504021421
49,202504021521
52,202504021621
14,202504021721
48,202504021821
48,202504021921
52,202504022021
48,202504022121
43,202504022221
42,202504022321
39,202504030021
38,202504030121
34,202504030221
30,202504030321
26,202504030421
27,202504030521
26,202504030621
26,202504030721
27,202504030821
30,202504030921
34,202504031021
40,202504031121
47,202504031221
52,202504031321
57,202504031421
56,202504031521
53,202504031621
52,202504031721
51,202504031821
51,202504031921
50,202504032021
47,202504032121
43,202504032221
40,202504032321
37,202504040021
35,202504040121
34,202504040221
30,202504040321
26,202504040421
27,202504040521
27,202504040621
29,202504040721
31,202504040821
33,202504040921
37,202504041021
43,202504041121
49,202504041221
54,202504041321
58,202504041421
57,202504041521
56,202504041621
54,202504041721
53,202504041821
52,202504041921
50,202504042021
46,202504042121
42,202504042221
38,202504042321
36,202504050021
35,202504050121
31,202504050221
28,202504050321
25,202504050421
24,202504050521
25,202504050621
26,202504050721
26,202504050821
28,202504050921
30,202504051021
35,202504051121
39,202504051221
44,202504051321
47,202504051421
47,202504051521
46,202504051621
45,202504051721
45,202504051821
44,202504051921
44,202504052021
42,202504052121
39,202504052221
16,202504052321
36,202504060021
34,202504060121
31,202504060221
28,202504060321
24,202504060421
24,202504060521
25,202504060621
26,202504060721
26,202504060821
27,202504060921
29,202504061021
34,202504061121
39,202504061221
44,202504061321
48,202504061421
50,202504061521
47,202504061621
46,202504061721
45,202504061821
43,202504061921
42,202504062021
39,202504062121
37,202504062221
36,202504062321
35,202504070021
33,202504070121
31,202504070221
28,202504070321
26,202504070421
7.2,202504070521
25,202504070621
26,202504070721
27,202504070821
29,202504070921
33,202504071021
39,202504071121
45,202504071221
50,202504071321
53,202504071421
39,202504071521
1.5,202504071621
50,202504071721
48,202504071821
48,202504071921
46,202504072021
42,202504072121
33,202504072221
27,202504080021
35,202504080121
32,202504080221
29,202504080321
18,202504080421
27,202504080521
3.2,202504080621
26,202504080721
27,202504080821
29,202504080921
24,202504081021
39,202504081121
44,202504081221
49,202504081321
52,202504081421
52,202504081521
51,202504081621
50,202504081721
48,202504081821
48,202504081921
47,202504082021
44,202504082121
40,202504082221
39,202504082321
38,202504090021
35,202504090121
33,202504090221
29,202504090321
26,202504090421
26,202504090521
26,202504090621
27,202504090721
27,202504090821
29,202504090921
34,202504091021
41,202504091121
46,202504091221
50,202504091321
53,202504091421
52,202504091521
50,202504091621
52,202504091721
50,202504091821
48,202504091921
47,202504092021
43,202504092121
38,202504092221
36,202504092321
35,202504100021
33,202504100121
30,202504100221
